[2023-06-02 15:45:07,985][inference.model_runners][INFO] - Reading checkpoint from /projects/ml/RF2_allatom/lab_model_weights/aa_diffusion.pt
[2023-06-02 15:45:19,361][inference.model_runners][INFO] - Loading checkpoint.
[2023-06-02 15:45:19,599][diffusion][INFO] - No IGSO3 cache found at ./T_200_omega_1000_min_sigma_0_02_min_b_1_5_max_b_2_5_schedule_linear.pkl.
[2023-06-02 15:45:19,599][diffusion][INFO] - Calculating IGSO3.
[2023-06-02 15:46:34,233][__main__][INFO] - Making design /home/lhtran/class/cheme_577/challenge_4/unrelated/output/des_0
[2023-06-02 15:46:34,298][inference.model_runners][INFO] - Using contig: ['70-120']
[2023-06-02 15:46:34,298][inference.model_runners][INFO] - Using sampled mask: ['118-118']
[2023-06-02 15:48:39,329][inference.model_runners][INFO] - 15:48:39: Timestep 124, current sequence: ????T???????G?Q???????????S??????????????????????G???????????????G???????????????????????????????????????T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:40,955][inference.model_runners][INFO] - 15:48:40: Timestep 123, current sequence: ????????????S?Q???????????S??????????????????????G??????????GE??GG?????Q?????????????????????????????????T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:42,564][inference.model_runners][INFO] - 15:48:42: Timestep 122, current sequence: ????????????S?QGT?????????S???????????????????T??G??????????????AG?????Q?????????????????????????????????T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:44,151][inference.model_runners][INFO] - 15:48:44: Timestep 121, current sequence: ????????????S?QDE?????????SL??????????????S?G????????????????E??AG?????Q???????????????????????????????G?T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:45,759][inference.model_runners][INFO] - 15:48:45: Timestep 120, current sequence: ????????????G?Q???????????SL??????????????????????????????????????????????????????S???????????????????E??T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:47,344][inference.model_runners][INFO] - 15:48:47: Timestep 119, current sequence: ??T??V??????S?Q??G????????SLE?????????????????????????????????G?A?????????????????????????????????????EG?T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:48,918][inference.model_runners][INFO] - 15:48:48: Timestep 118, current sequence: ?????V????????Q??G????????SLE???E??Q????????????????S?????T???????????????????????????????????????????EG?T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:50,491][inference.model_runners][INFO] - 15:48:50: Timestep 117, current sequence: ??T??V??????S?Q??S????????SLQ?????????????S?????????SG????????????????S??G????????????????????????LE??EG?T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:52,059][inference.model_runners][INFO] - 15:48:52: Timestep 116, current sequence: ??T??V???T????Q??G????????SLE??????Q??????????V?????S??????????????????S??????????????????????????LE??EG?T????????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:53,629][inference.model_runners][INFO] - 15:48:53: Timestep 115, current sequence: ??T??L????????G??G????????SLQ???E?????????SQG?V?????S??????????????????S??????????????????????????LE???G?T?L??????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:55,203][inference.model_runners][INFO] - 15:48:55: Timestep 114, current sequence: ?????L??????S?G?TG????????TLE?????????????SQG???????S????????????????G?S??????????????????????????LE???G?T?L??????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:56,776][inference.model_runners][INFO] - 15:48:56: Timestep 113, current sequence: ????TL???T??S?G?TG????????TLE???Q??Q??????SQG?V?????S??????????????????S??????????T???????????????LE??EG?T?L??????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:58,353][inference.model_runners][INFO] - 15:48:58: Timestep 112, current sequence: ????TV???T??S?G?TG????????TLE??????????????QG?V?????S?T??????????G???G?G??????????T???????????????LE??GG?T?LT?????????aaaaaaaaaaaaaaa
[2023-06-02 15:48:59,934][inference.model_runners][INFO] - 15:48:59: Timestep 111, current sequence: ????TV???T??S?GTTG????????TLE??????EQ??????QG?V?????SG?????????????????G??????????T???????????????LE??GG?T?LV?????????aaaaaaaaaaaaaaa
[2023-06-02 15:49:01,504][inference.model_runners][INFO] - 15:49:01: Timestep 110, current sequence: ????TL???T??S?G?TG????V???TLE???Q??Q???????QG?V?????S?T??????????????G?G??????????????????????????LE??GG?TTLV????V????aaaaaaaaaaaaaaa
[2023-06-02 15:49:03,087][inference.model_runners][INFO] - 15:49:03: Timestep 109, current sequence: ????TL???T??S????G????V???TLE???Q??Q??????SQG?V?????S?????????Q??G???G?S?G????????????????????????LE??GG?TTLV????V????aaaaaaaaaaaaaaa
[2023-06-02 15:49:04,667][inference.model_runners][INFO] - 15:49:04: Timestep 108, current sequence: ????TL???T??GG??TG????V???TLE??????Q??????SQG?V?????G?????????Q??G???G?G??????????S???????????????LE??GG?T?LV????V????aaaaaaaaaaaaaaa
[2023-06-02 15:49:06,250][inference.model_runners][INFO] - 15:49:06: Timestep 107, current sequence: ????TL???T?TGG???G????V???TLE??????Q??????SQG?V???????????????G??G???G?SSG????????S?????????E?????LE??EG?T?LV????V????aaaaaaaaaaaaaaa
[2023-06-02 15:49:07,834][inference.model_runners][INFO] - 15:49:07: Timestep 106, current sequence: ????TL???T?TEG???G????V???TLE??????E??????TQG?V???????????????G??????G??E?????????S?????????E?????LE??EG?TTLV?Q??V????aaaaaaaaaaaaaaa
[2023-06-02 15:49:09,412][inference.model_runners][INFO] - 15:49:09: Timestep 105, current sequence: ????TL???T?TE????G????L???TLE?????????????T???????????SL????????????GG??E?S?????????????????E?????LA??EG?TTLV?Q??V????aaaaaaaaaaaaaaa
[2023-06-02 15:49:10,993][inference.model_runners][INFO] - 15:49:10: Timestep 104, current sequence: ????TL???T??G????G????????TLE?????????????SGG?????????SL??????GG?GQ??G??E?S?????????????????E?????LA??GG?TTLV?Q??V????aaaaaaaaaaaaaaa
[2023-06-02 15:49:12,577][inference.model_runners][INFO] - 15:49:12: Timestep 103, current sequence: ????TL???T??E??T?G????????TLE????????????????????????GSL??????Q??GE??G??E???????????????????E?????LAQ?EG?TT?V?Q??V????aaaaaaaaaaaaaaa
[2023-06-02 15:49:14,156][inference.model_runners][INFO] - 15:49:14: Timestep 102, current sequence: ????TL???T?TE??T?G?V??????TLE???????????????G????L???GTL??????Q??GQ??G??E?????????T?????????E?????LA??EG?TTLV?L??V?T??aaaaaaaaaaaaaaa
[2023-06-02 15:49:15,741][inference.model_runners][INFO] - 15:49:15: Timestep 101, current sequence: ?V??TL???T?TE????G?V??????TLE???????????????G????L????QL??????Q??GQ??G??E?????????T?????????E?????LAQ?EG?T?LV?L???????aaaaaaaaaaaaaaa
[2023-06-02 15:49:17,320][inference.model_runners][INFO] - 15:49:17: Timestep 100, current sequence: ????TL???T??E????G?L??????TLE???????????????G????L????TL?????????GQ??G??E?????????T?????????E?????LQQ?EG?TTLV?L??V????aaaaaaaaaaaaaaa
[2023-06-02 15:49:18,902][inference.model_runners][INFO] - 15:49:18: Timestep 99, current sequence: ???LTL???T?TE????G?L??????TEE???Q??R???????QG????L????QL??T???????Q??G??T?G???????T?L???????E?????LEQ?EG?TTLV????V?T??aaaaaaaaaaaaaaa
[2023-06-02 15:49:20,490][inference.model_runners][INFO] - 15:49:20: Timestep 98, current sequence: ????TL???T?TE??T?G?L??????TEE???????????????G???????S?QL??T?L?????Q?????T?G?????????L???????E?????LLQ?QG?T?LV?V???????aaaaaaaaaaaaaaa
[2023-06-02 15:49:22,070][inference.model_runners][INFO] - 15:49:22: Timestep 97, current sequence: ????TL???T?TE??T?G?L??V???TEE???Q???????????G?????????QL??T?L?????Q?????E???????????L???????E?????LLQ?QG?TTLV?????????aaaaaaaaaaaaaaa
[2023-06-02 15:49:23,654][inference.model_runners][INFO] - 15:49:23: Timestep 96, current sequence: ???LT????T?TE??TTG?V??V???TEE??????L????????G????L????QL??T?L?????Q????TE???????????L???????E???QLLLQ?QG?TTLV?Q???????aaaaaaaaaaaaaaa
[2023-06-02 15:49:25,235][inference.model_runners][INFO] - 15:49:25: Timestep 95, current sequence: ????T????T?TE??TTG?V??V???TEE???Q??L???????GG????L?????L??T?L?????Q???QTE???????????L???????E???ALLLQ?QG?TTLT?Q???????aaaaaaaaaaaaaaa
[2023-06-02 15:49:26,822][inference.model_runners][INFO] - 15:49:26: Timestep 94, current sequence: ???LT????T?TE??TTG?V??V???TEE???Q??RQ??????QG????V??GGQL??T?L?Q???Q???QTE???????????L???????E?????LLQ?QG?TTLV?Q???????aaaaaaaaaaaaaaa
[2023-06-02 15:49:28,409][inference.model_runners][INFO] - 15:49:28: Timestep 93, current sequence: ????T????T?TE??T?G?L??V???TEE???Q??LQ??????QG????L????SL??T?L?Q??GQ??GQTE???????????A???????E?????LAQ?QGLTTLV?Q???????aaaaaaaaaaaaaaa
[2023-06-02 15:49:29,997][inference.model_runners][INFO] - 15:49:29: Timestep 92, current sequence: ?M??T??L?T??E??TTG?V??V???TEE???Q??L???????GG?????????SL??T?L?Q??GQ??SQTE???????????L???????E???QLLQQLQQ?TTLV?L???V???aaaaaaaaaaaaaaa
[2023-06-02 15:49:31,587][inference.model_runners][INFO] - 15:49:31: Timestep 91, current sequence: ?M??T??L?T??E??TTG?V??V???TEE???Q??L???????GG????L???GSL??T?L?Q???Q???LTE???????????L???????EL??QLLQQLQQ?TTLV?Q???V???aaaaaaaaaaaaaaa
[2023-06-02 15:49:33,183][inference.model_runners][INFO] - 15:49:33: Timestep 90, current sequence: ????T????T??E???TG?V??V???TEE???Q??L???????GG????L??GGQL??T?L?Q???Q??SQTE???????????L???????EL??QLLGQLQQ?TTLV?T???????aaaaaaaaaaaaaaa
[2023-06-02 15:49:34,777][inference.model_runners][INFO] - 15:49:34: Timestep 89, current sequence: ?L??T????T??E???TG?V??V???TE????Q??L???????GG???????GSQL??T?L?Q???Q??SQTE???????????L???????EL??QLLLQLQQ?TTLV?T??????Eaaaaaaaaaaaaaaa
[2023-06-02 15:49:36,363][inference.model_runners][INFO] - 15:49:36: Timestep 88, current sequence: ????TL???T?TE???TG?V??V???TEE???Q??L???????GG???????GSQL??T?L?Q???Q??SQTE???????????L???????EL??QLLEQLEQ?TTLT?T???????aaaaaaaaaaaaaaa
[2023-06-02 15:49:37,957][inference.model_runners][INFO] - 15:49:37: Timestep 87, current sequence: ?L?LT????T?TE????G?V??V???TEE??AQ??L???????GG????LS?GSQL??T?L?Q???Q??GQTE???????????L???????EL??QLLLQLQQ?TTLV?T??????Eaaaaaaaaaaaaaaa
